size,density,noise_level,negative_values,nx_avg,nx_sum,nx_min,nx_max,nx_count,bellman_ford_avg,bellman_ford_sum,bellman_ford_min,bellman_ford_max,bellman_ford_count
10,0.2,0.0,False,1213.5802469135801,98300.0,73.0,2755.0,81,1213.5802469135801,98300.0,73.0,2755.0,81
10,0.2,0.0,True,1213.5802469135801,98300.0,73.0,2755.0,81,1213.5802469135801,98300.0,73.0,2755.0,81
10,0.2,0.1,False,1314.9506172839506,106511.0,140.0,2929.0,81,1314.9506172839506,106511.0,140.0,2929.0,81
10,0.2,0.1,True,1206.9382716049383,97762.0,107.0,2705.0,81,1206.9382716049383,97762.0,107.0,2705.0,81
10,0.2,0.5,False,1711.2345679012346,138610.0,257.0,3630.0,81,1711.2345679012346,138610.0,257.0,3630.0,81
10,0.2,0.5,True,1079.8024691358025,87464.0,-248.0,2526.0,81,1079.8024691358025,87464.0,-248.0,2526.0,81
10,0.2,0.8,False,2004.3827160493827,162355.0,292.0,4155.0,81,2004.3827160493827,162355.0,292.0,4155.0,81
10,0.2,0.8,True,946.8641975308642,76696.0,-751.0,2535.0,81,946.8641975308642,76696.0,-751.0,2535.0,81
10,0.5,0.0,False,745.5222222222222,67097.0,73.0,1915.0,90,745.5222222222222,67097.0,73.0,1915.0,90
10,0.5,0.0,True,745.5222222222222,67097.0,73.0,1915.0,90,745.5222222222222,67097.0,73.0,1915.0,90
10,0.5,0.1,False,826.9777777777778,74428.0,140.0,2133.0,90,826.9777777777778,74428.0,140.0,2133.0,90
10,0.5,0.1,True,749.9222222222222,67493.0,56.0,2041.0,90,749.9222222222222,67493.0,56.0,2041.0,90
10,0.5,0.5,False,1128.9777777777779,101608.0,206.0,2823.0,90,1128.9777777777779,101608.0,206.0,2823.0,90
10,0.5,0.5,True,,,,,0,,,,,0
10,0.5,0.8,False,1344.3666666666666,120993.0,256.0,3306.0,90,1344.3666666666666,120993.0,256.0,3306.0,90
10,0.5,0.8,True,,,,,0,,,,,0
10,0.8,0.0,False,553.9111111111112,49852.0,73.0,1056.0,90,553.9111111111112,49852.0,73.0,1056.0,90
10,0.8,0.0,True,553.9111111111112,49852.0,73.0,1056.0,90,553.9111111111112,49852.0,73.0,1056.0,90
10,0.8,0.1,False,606.9111111111112,54622.0,93.0,1102.0,90,606.9111111111112,54622.0,93.0,1102.0,90
10,0.8,0.1,True,514.0555555555555,46265.0,13.0,967.0,90,514.0555555555555,46265.0,13.0,967.0,90
10,0.8,0.5,False,802.8222222222222,72254.0,174.0,1429.0,90,802.8222222222222,72254.0,174.0,1429.0,90
10,0.8,0.5,True,,,,,0,,,,,0
10,0.8,0.8,False,945.9666666666667,85137.0,235.0,1737.0,90,945.9666666666667,85137.0,235.0,1737.0,90
10,0.8,0.8,True,,,,,0,,,,,0
10,1.0,0.0,False,532.6222222222223,47936.0,73.0,1021.0,90,532.6222222222223,47936.0,73.0,1021.0,90
10,1.0,0.0,True,532.6222222222223,47936.0,73.0,1021.0,90,532.6222222222223,47936.0,73.0,1021.0,90
10,1.0,0.1,False,578.7777777777778,52090.0,93.0,1064.0,90,578.7777777777778,52090.0,93.0,1064.0,90
10,1.0,0.1,True,489.22222222222223,44030.0,13.0,967.0,90,489.22222222222223,44030.0,13.0,967.0,90
10,1.0,0.5,False,747.6444444444444,67288.0,135.0,1351.0,90,747.6444444444444,67288.0,135.0,1351.0,90
10,1.0,0.5,True,,,,,0,,,,,0
10,1.0,0.8,False,864.6888888888889,77822.0,138.0,1611.0,90,864.6888888888889,77822.0,138.0,1611.0,90
10,1.0,0.8,True,,,,,0,,,,,0
20,0.2,0.0,False,929.2868421052632,353129.0,25.0,2234.0,380,929.2868421052632,353129.0,25.0,2234.0,380
20,0.2,0.0,True,929.2868421052632,353129.0,25.0,2234.0,380,929.2868421052632,353129.0,25.0,2234.0,380
20,0.2,0.1,False,1053.1,400178.0,104.0,2389.0,380,1053.1,400178.0,104.0,2389.0,380
20,0.2,0.1,True,934.3578947368421,355056.0,26.0,2095.0,380,934.3578947368421,355056.0,26.0,2095.0,380
20,0.2,0.5,False,1500.6157894736841,570234.0,186.0,3232.0,380,1500.6157894736841,570234.0,186.0,3232.0,380
20,0.2,0.5,True,711.9421052631579,270538.0,-426.0,1951.0,380,711.9421052631579,270538.0,-426.0,1951.0,380
20,0.2,0.8,False,1812.3447368421052,688691.0,232.0,4042.0,380,1812.3447368421052,688691.0,232.0,4042.0,380
20,0.2,0.8,True,,,,,0,,,,,0
20,0.5,0.0,False,596.5684210526316,226696.0,25.0,1119.0,380,596.5684210526316,226696.0,25.0,1119.0,380
20,0.5,0.0,True,596.5684210526316,226696.0,25.0,1119.0,380,596.5684210526316,226696.0,25.0,1119.0,380
20,0.5,0.1,False,676.5,257070.0,104.0,1142.0,380,676.5,257070.0,104.0,1142.0,380
20,0.5,0.1,True,580.6763157894737,220657.0,26.0,1000.0,380,580.6763157894737,220657.0,26.0,1000.0,380
20,0.5,0.5,False,946.2052631578947,359558.0,186.0,1709.0,380,946.2052631578947,359558.0,186.0,1709.0,380
20,0.5,0.5,True,,,,,0,,,,,0
20,0.5,0.8,False,1120.2368421052631,425690.0,232.0,2128.0,380,1120.2368421052631,425690.0,232.0,2128.0,380
20,0.5,0.8,True,,,,,0,,,,,0
20,0.8,0.0,False,546.4657894736843,207657.0,25.0,1038.0,380,546.4657894736843,207657.0,25.0,1038.0,380
20,0.8,0.0,True,546.4657894736843,207657.0,25.0,1038.0,380,546.4657894736843,207657.0,25.0,1038.0,380
20,0.8,0.1,False,604.7052631578947,229788.0,78.0,1101.0,380,604.7052631578947,229788.0,78.0,1101.0,380
20,0.8,0.1,True,503.2657894736842,191241.0,-18.0,963.0,380,503.2657894736842,191241.0,-18.0,963.0,380
20,0.8,0.5,False,806.7789473684211,306576.0,94.0,1412.0,380,806.7789473684211,306576.0,94.0,1412.0,380
20,0.8,0.5,True,,,,,0,,,,,0
20,0.8,0.8,False,935.3657894736842,355439.0,106.0,1760.0,380,935.3657894736842,355439.0,106.0,1760.0,380
20,0.8,0.8,True,,,,,0,,,,,0
20,1.0,0.0,False,536.2052631578947,203758.0,25.0,1038.0,380,536.2052631578947,203758.0,25.0,1038.0,380
20,1.0,0.0,True,536.2052631578947,203758.0,25.0,1038.0,380,536.2052631578947,203758.0,25.0,1038.0,380
20,1.0,0.1,False,583.1578947368421,221600.0,78.0,1083.0,380,583.1578947368421,221600.0,78.0,1083.0,380
20,1.0,0.1,True,478.65,181887.0,-18.0,963.0,380,478.65,181887.0,-18.0,963.0,380
20,1.0,0.5,False,746.8763157894737,283813.0,94.0,1252.0,380,746.8763157894737,283813.0,94.0,1252.0,380
20,1.0,0.5,True,,,,,0,,,,,0
20,1.0,0.8,False,853.1394736842105,324193.0,106.0,1423.0,380,853.1394736842105,324193.0,106.0,1423.0,380
20,1.0,0.8,True,,,,,0,,,,,0
50,0.2,0.0,False,732.7027210884354,1077073.0,56.0,1363.0,1470,732.7027210884354,1077073.0,56.0,1363.0,1470
50,0.2,0.0,True,774.4306122448979,1138413.0,27.0,1546.0,1470,774.4306122448979,1138413.0,27.0,1546.0,1470
50,0.2,0.1,False,838.4299319727891,1232492.0,70.0,1695.0,1470,838.4299319727891,1232492.0,70.0,1695.0,1470
50,0.2,0.1,True,690.5299319727891,1015079.0,3.0,1321.0,1470,690.5299319727891,1015079.0,3.0,1321.0,1470
50,0.2,0.5,False,1152.2721088435374,1693840.0,148.0,2154.0,1470,1152.2721088435374,1693840.0,148.0,2154.0,1470
50,0.2,0.5,True,,,,,0,,,,,0
50,0.2,0.8,False,1409.7789115646258,2072375.0,193.0,2475.0,1470,1409.7789115646258,2072375.0,193.0,2475.0,1470
50,0.2,0.8,True,,,,,0,,,,,0
50,0.5,0.0,False,533.3115646258503,783968.0,21.0,1243.0,1470,533.3115646258503,783968.0,21.0,1243.0,1470
50,0.5,0.0,True,535.9632653061225,787866.0,27.0,1243.0,1470,535.9632653061225,787866.0,27.0,1243.0,1470
50,0.5,0.1,False,598.5646258503401,879890.0,42.0,1288.0,1470,598.5646258503401,879890.0,42.0,1288.0,1470
50,0.5,0.1,True,454.23809523809524,667730.0,-5.0,1050.0,1470,454.23809523809524,667730.0,-5.0,1050.0,1470
50,0.5,0.5,False,814.808843537415,1197769.0,89.0,1527.0,1470,814.808843537415,1197769.0,89.0,1527.0,1470
50,0.5,0.5,True,,,,,0,,,,,0
50,0.5,0.8,False,937.7142857142857,1378440.0,56.0,1727.0,1470,937.7142857142857,1378440.0,56.0,1727.0,1470
50,0.5,0.8,True,,,,,0,,,,,0
50,0.8,0.0,False,507.12108843537413,745468.0,13.0,1242.0,1470,507.12108843537413,745468.0,13.0,1242.0,1470
50,0.8,0.0,True,509.21496598639453,748546.0,13.0,1242.0,1470,509.21496598639453,748546.0,13.0,1242.0,1470
50,0.8,0.1,False,547.6285714285714,805014.0,41.0,1212.0,1470,547.6285714285714,805014.0,41.0,1212.0,1470
50,0.8,0.1,True,,,,,0,,,,,0
50,0.8,0.5,False,699.0,1027530.0,50.0,1427.0,1470,699.0,1027530.0,50.0,1427.0,1470
50,0.8,0.5,True,,,,,0,,,,,0
50,0.8,0.8,False,798.9142857142857,1174404.0,56.0,1563.0,1470,798.9142857142857,1174404.0,56.0,1563.0,1470
50,0.8,0.8,True,,,,,0,,,,,0
50,1.0,0.0,False,495.8768707482993,728939.0,13.0,1242.0,1470,495.8768707482993,728939.0,13.0,1242.0,1470
50,1.0,0.0,True,498.79455782312925,733228.0,13.0,1242.0,1470,498.79455782312925,733228.0,13.0,1242.0,1470
50,1.0,0.1,False,534.9197278911564,786332.0,42.0,1212.0,1470,534.9197278911564,786332.0,42.0,1212.0,1470
50,1.0,0.1,True,,,,,0,,,,,0
50,1.0,0.5,False,671.5721088435374,987211.0,50.0,1374.0,1470,671.5721088435374,987211.0,50.0,1374.0,1470
50,1.0,0.5,True,,,,,0,,,,,0
50,1.0,0.8,False,750.843537414966,1103740.0,99.0,1444.0,1470,750.843537414966,1103740.0,99.0,1444.0,1470
50,1.0,0.8,True,,,,,0,,,,,0
