size,density,noise_level,negative_values,nx_avg,nx_sum,nx_min,nx_max,nx_count,nx_time_avg,bellman_ford_avg,bellman_ford_sum,bellman_ford_min,bellman_ford_max,bellman_ford_count,bellman_ford_time_avg
10,0.2,0.0,False,1213.5802469135801,98300.0,73.0,2755.0,81,5.1259997417218986e-05,1213.5802469135801,98300.0,73.0,2755.0,81,0.00012869000202044844
10,0.2,0.0,True,1213.5802469135801,98300.0,73.0,2755.0,81,9.58999982685782e-05,1213.5802469135801,98300.0,73.0,2755.0,81,0.00015436999965459108
10,0.2,0.1,False,1314.9506172839506,106511.0,140.0,2929.0,81,3.8770002720411864e-05,1314.9506172839506,106511.0,140.0,2929.0,81,0.00013837000005878508
10,0.2,0.1,True,1206.9382716049383,97762.0,107.0,2705.0,81,5.016999930376187e-05,1206.9382716049383,97762.0,107.0,2705.0,81,0.00010875999869313091
10,0.2,0.5,False,1711.2345679012346,138610.0,257.0,3630.0,81,2.669000095920637e-05,1711.2345679012346,138610.0,257.0,3630.0,81,9.68600026681088e-05
10,0.2,0.5,True,1079.8024691358025,87464.0,-248.0,2526.0,81,3.2029997964855286e-05,1079.8024691358025,87464.0,-248.0,2526.0,81,7.508000126108528e-05
10,0.2,0.8,False,2004.3827160493827,162355.0,292.0,4155.0,81,1.9859999883919955e-05,2004.3827160493827,162355.0,292.0,4155.0,81,6.419000128516927e-05
10,0.2,0.8,True,946.8641975308642,76696.0,-751.0,2535.0,81,8.109000191325322e-05,946.8641975308642,76696.0,-751.0,2535.0,81,0.0001570799999171868
10,0.5,0.0,False,745.5222222222222,67097.0,73.0,1915.0,90,3.826999891316518e-05,745.5222222222222,67097.0,73.0,1915.0,90,0.0001289200037717819
10,0.5,0.0,True,745.5222222222222,67097.0,73.0,1915.0,90,5.511999916052446e-05,745.5222222222222,67097.0,73.0,1915.0,90,0.00012929000076837837
10,0.5,0.1,False,826.9777777777778,74428.0,140.0,2133.0,90,6.081999745219946e-05,826.9777777777778,74428.0,140.0,2133.0,90,0.000207500001124572
10,0.5,0.1,True,749.9222222222222,67493.0,56.0,2041.0,90,7.823000341886655e-05,749.9222222222222,67493.0,56.0,2041.0,90,0.00019274000078439713
10,0.5,0.5,False,1128.9777777777779,101608.0,206.0,2823.0,90,3.687999997055158e-05,1128.9777777777779,101608.0,206.0,2823.0,90,0.00013497999752871693
10,0.5,0.5,True,,,,,0,8.433000039076433e-05,,,,,0,0.00041154000064125285
10,0.5,0.8,False,1344.3666666666666,120993.0,256.0,3306.0,90,4.242999712005258e-05,1344.3666666666666,120993.0,256.0,3306.0,90,0.00015326999855460599
10,0.5,0.8,True,,,,,0,6.316000071819872e-05,,,,,0,0.00034737000096356495
10,0.8,0.0,False,553.9111111111112,49852.0,73.0,1056.0,90,5.805000255350023e-05,553.9111111111112,49852.0,73.0,1056.0,90,0.0001953300044988282
10,0.8,0.0,True,553.9111111111112,49852.0,73.0,1056.0,90,5.8179999177809806e-05,553.9111111111112,49852.0,73.0,1056.0,90,0.00015235000028042124
10,0.8,0.1,False,606.9111111111112,54622.0,93.0,1102.0,90,4.975999763701111e-05,606.9111111111112,54622.0,93.0,1102.0,90,0.0001541299992823042
10,0.8,0.1,True,514.0555555555555,46265.0,13.0,967.0,90,9.426000033272431e-05,514.0555555555555,46265.0,13.0,967.0,90,0.00024768000148469584
10,0.8,0.5,False,802.8222222222222,72254.0,174.0,1429.0,90,5.6189997121691707e-05,802.8222222222222,72254.0,174.0,1429.0,90,0.0001706299983197823
10,0.8,0.5,True,,,,,0,9.803999855648727e-05,,,,,0,0.0005620099967927672
10,0.8,0.8,False,945.9666666666667,85137.0,235.0,1737.0,90,3.638999623944983e-05,945.9666666666667,85137.0,235.0,1737.0,90,0.00013243999710539357
10,0.8,0.8,True,,,,,0,4.770000086864457e-05,,,,,0,0.00034402000019326804
10,1.0,0.0,False,532.6222222222223,47936.0,73.0,1021.0,90,3.7549996341113e-05,532.6222222222223,47936.0,73.0,1021.0,90,0.0001246199943125248
10,1.0,0.0,True,532.6222222222223,47936.0,73.0,1021.0,90,9.731999889481813e-05,532.6222222222223,47936.0,73.0,1021.0,90,0.0002360100013902411
10,1.0,0.1,False,578.7777777777778,52090.0,93.0,1064.0,90,4.962999955751002e-05,578.7777777777778,52090.0,93.0,1064.0,90,0.00017458000365877524
10,1.0,0.1,True,489.22222222222223,44030.0,13.0,967.0,90,0.00011046000145142898,489.22222222222223,44030.0,13.0,967.0,90,0.0002843600028427318
10,1.0,0.5,False,747.6444444444444,67288.0,135.0,1351.0,90,7.984000258147717e-05,747.6444444444444,67288.0,135.0,1351.0,90,0.00026673000247683375
10,1.0,0.5,True,,,,,0,4.6079998719505964e-05,,,,,0,0.00043892999965464694
10,1.0,0.8,False,864.6888888888889,77822.0,138.0,1611.0,90,5.097999965073541e-05,864.6888888888889,77822.0,138.0,1611.0,90,0.00016929000121308492
10,1.0,0.8,True,,,,,0,7.02000004821457e-05,,,,,0,0.0005449600022984669
20,0.2,0.0,False,929.2868421052632,353129.0,25.0,2234.0,380,5.48099989828188e-05,929.2868421052632,353129.0,25.0,2234.0,380,0.00021624000146402977
20,0.2,0.0,True,929.2868421052632,353129.0,25.0,2234.0,380,0.00010280999922542832,929.2868421052632,353129.0,25.0,2234.0,380,0.00026256999844918025
20,0.2,0.1,False,1053.1,400178.0,104.0,2389.0,380,5.408500073826872e-05,1053.1,400178.0,104.0,2389.0,380,0.00021119000084581784
20,0.2,0.1,True,934.3578947368421,355056.0,26.0,2095.0,380,0.00012631499994313343,934.3578947368421,355056.0,26.0,2095.0,380,0.00030553000106010587
20,0.2,0.5,False,1500.6157894736841,570234.0,186.0,3232.0,380,5.4559997806791216e-05,1500.6157894736841,570234.0,186.0,3232.0,380,0.0001896349982416723
20,0.2,0.5,True,711.9421052631579,270538.0,-426.0,1951.0,380,0.0001399850007146597,711.9421052631579,270538.0,-426.0,1951.0,380,0.000381354997807648
20,0.2,0.8,False,1812.3447368421052,688691.0,232.0,4042.0,380,6.804500008001923e-05,1812.3447368421052,688691.0,232.0,4042.0,380,0.00023552000202471391
20,0.2,0.8,True,,,,,0,9.148999888566322e-05,,,,,0,0.0009284199986723252
20,0.5,0.0,False,596.5684210526316,226696.0,25.0,1119.0,380,0.00011349500055075623,596.5684210526316,226696.0,25.0,1119.0,380,0.00044562499679159375
20,0.5,0.0,True,596.5684210526316,226696.0,25.0,1119.0,380,0.00018204500011052006,596.5684210526316,226696.0,25.0,1119.0,380,0.000565235000976827
20,0.5,0.1,False,676.5,257070.0,104.0,1142.0,380,0.00010643999994499608,676.5,257070.0,104.0,1142.0,380,0.00041846500025712887
20,0.5,0.1,True,580.6763157894737,220657.0,26.0,1000.0,380,0.00023373999938485212,580.6763157894737,220657.0,26.0,1000.0,380,0.0006297299980360549
20,0.5,0.5,False,946.2052631578947,359558.0,186.0,1709.0,380,0.00021274000027915463,946.2052631578947,359558.0,186.0,1709.0,380,0.0006190950014570262
20,0.5,0.5,True,,,,,0,0.00022131499936222098,,,,,0,0.0026781499982462265
20,0.5,0.8,False,1120.2368421052631,425690.0,232.0,2128.0,380,0.00015906000044196844,1120.2368421052631,425690.0,232.0,2128.0,380,0.0031490499997744335
20,0.5,0.8,True,,,,,0,0.0002214200001617428,,,,,0,0.0035086250005406327
20,0.8,0.0,False,546.4657894736843,207657.0,25.0,1038.0,380,0.00016343999959644862,546.4657894736843,207657.0,25.0,1038.0,380,0.0006586900002730544
20,0.8,0.0,True,546.4657894736843,207657.0,25.0,1038.0,380,0.00012542999829747714,546.4657894736843,207657.0,25.0,1038.0,380,0.00046713999981875534
20,0.8,0.1,False,604.7052631578947,229788.0,78.0,1101.0,380,0.00014367999756359495,604.7052631578947,229788.0,78.0,1101.0,380,0.0005621799995424226
20,0.8,0.1,True,503.2657894736842,191241.0,-18.0,963.0,380,0.0002176349997171201,503.2657894736842,191241.0,-18.0,963.0,380,0.0007062099997710902
20,0.8,0.5,False,806.7789473684211,306576.0,94.0,1412.0,380,0.00011776000028476118,806.7789473684211,306576.0,94.0,1412.0,380,0.0005426250005257316
20,0.8,0.5,True,,,,,0,0.00012009000201942399,,,,,0,0.0026458750013262033
20,0.8,0.8,False,935.3657894736842,355439.0,106.0,1760.0,380,0.00011046500003430992,935.3657894736842,355439.0,106.0,1760.0,380,0.0005010000022593886
20,0.8,0.8,True,,,,,0,0.0001122250010666903,,,,,0,0.003126615000655875
20,1.0,0.0,False,536.2052631578947,203758.0,25.0,1038.0,380,0.00012251000152900814,536.2052631578947,203758.0,25.0,1038.0,380,0.0006029899996065069
20,1.0,0.0,True,536.2052631578947,203758.0,25.0,1038.0,380,0.0001496699987910688,536.2052631578947,203758.0,25.0,1038.0,380,0.0005343199976778123
20,1.0,0.1,False,583.1578947368421,221600.0,78.0,1083.0,380,0.00022393499821191654,583.1578947368421,221600.0,78.0,1083.0,380,0.0007618550000188407
20,1.0,0.1,True,478.65,181887.0,-18.0,963.0,380,0.00033916999964276327,478.65,181887.0,-18.0,963.0,380,0.0012534799992863555
20,1.0,0.5,False,746.8763157894737,283813.0,94.0,1252.0,380,0.00015761500180815345,746.8763157894737,283813.0,94.0,1252.0,380,0.0006983249993936624
20,1.0,0.5,True,,,,,0,0.00019095500101684593,,,,,0,0.0052075600011448845
20,1.0,0.8,False,853.1394736842105,324193.0,106.0,1423.0,380,0.0002787600009469315,853.1394736842105,324193.0,106.0,1423.0,380,0.001281579997157678
20,1.0,0.8,True,,,,,0,0.00012539500166894869,,,,,0,0.003654654997808393
50,0.2,0.0,False,740.1074829931973,1087958.0,27.0,1546.0,1470,0.00024193666516415154,740.1074829931973,1087958.0,27.0,1546.0,1470,0.0013197366676953
50,0.2,0.0,True,747.6836734693877,1099095.0,27.0,1546.0,1470,0.00037847666778058434,747.6836734693877,1099095.0,27.0,1546.0,1470,0.0013313666670001112
50,0.2,0.1,False,852.6380952380953,1253378.0,88.0,1695.0,1470,0.00026356000065182644,852.6380952380953,1253378.0,88.0,1695.0,1470,0.0012941833342968796
50,0.2,0.1,True,702.6619047619048,1032913.0,3.0,1327.0,1470,0.00035240333139275514,702.6619047619048,1032913.0,3.0,1327.0,1470,0.0013185300000865634
50,0.2,0.5,False,1161.5013605442177,1707407.0,162.0,2154.0,1470,0.00026610666633738826,1161.5013605442177,1707407.0,162.0,2154.0,1470,0.00113043333258247
50,0.2,0.5,True,,,,,0,0.000423080001201015,,,,,0,0.012624066668407371
50,0.2,0.8,False,1391.1986394557823,2045062.0,193.0,2569.0,1470,0.00027183999870127685,1391.1986394557823,2045062.0,193.0,2569.0,1470,0.0013065733335679397
50,0.2,0.8,True,,,,,0,0.0005054866671950246,,,,,0,0.0126973766683174
50,0.5,0.0,False,526.0061224489796,773229.0,21.0,1243.0,1470,0.00044195666511465483,526.0061224489796,773229.0,21.0,1243.0,1470,0.002406610000374106
50,0.5,0.0,True,533.4,784098.0,21.0,1243.0,1470,0.0004914599989812511,533.4,784098.0,21.0,1243.0,1470,0.002382209999389791
50,0.5,0.1,False,599.0768707482994,880643.0,60.0,1249.0,1470,0.0005667366645260093,599.0768707482994,880643.0,60.0,1249.0,1470,0.004785400001370969
50,0.5,0.1,True,467.48571428571427,687204.0,-71.0,1050.0,1470,0.0006164833326086712,467.48571428571427,687204.0,-71.0,1050.0,1470,0.002796929999991941
50,0.5,0.5,False,811.8129251700681,1193365.0,148.0,1527.0,1470,0.00044234666808430726,811.8129251700681,1193365.0,148.0,1527.0,1470,0.00256496000123055
50,0.5,0.5,True,,,,,0,0.00033420666441088545,,,,,0,0.029289763334963935
50,0.5,0.8,False,931.51768707483,1369331.0,56.0,1746.0,1470,0.0004492600002170851,931.51768707483,1369331.0,56.0,1746.0,1470,0.0023841800012936194
50,0.5,0.8,True,,,,,0,0.00017579000026065236,,,,,0,0.026147243333010314
50,0.8,0.0,False,500.63605442176873,735935.0,13.0,1242.0,1470,0.0005599666673030394,500.63605442176873,735935.0,13.0,1242.0,1470,0.0030559166674114144
50,0.8,0.0,True,513.7489795918367,755211.0,13.0,1242.0,1470,0.0006412400000651056,513.7489795918367,755211.0,13.0,1242.0,1470,0.003296540000398333
50,0.8,0.1,False,557.4687074829932,819479.0,41.0,1278.0,1470,0.0006318000009438644,557.4687074829932,819479.0,41.0,1278.0,1470,0.0032006933353841303
50,0.8,0.1,True,,,,,0,0.0006115933327237144,,,,,0,0.03961520666537884
50,0.8,0.5,False,707.0836734693878,1039413.0,50.0,1427.0,1470,0.0005567899997307298,707.0836734693878,1039413.0,50.0,1427.0,1470,0.0032329900005909924
50,0.8,0.5,True,,,,,0,0.00028498000125788773,,,,,0,0.044181926667806695
50,0.8,0.8,False,801.4755102040816,1178169.0,56.0,1444.0,1470,0.0005399066668663484,801.4755102040816,1178169.0,56.0,1444.0,1470,0.0034324166675408683
50,0.8,0.8,True,,,,,0,0.0001977066664646069,,,,,0,0.04195662999991327
50,1.0,0.0,False,493.0578231292517,724795.0,13.0,1242.0,1470,0.0006731233341270126,493.0578231292517,724795.0,13.0,1242.0,1470,0.0034039433356762554
50,1.0,0.0,True,493.27006802721087,725107.0,13.0,1242.0,1470,0.0007248700019166184,493.27006802721087,725107.0,13.0,1242.0,1470,0.003259330001310445
50,1.0,0.1,False,526.6149659863945,774124.0,41.0,1212.0,1470,0.0007137699988864673,526.6149659863945,774124.0,41.0,1212.0,1470,0.004034126666859568
50,1.0,0.1,True,,,,,0,0.0007525933353463188,,,,,0,0.05065630333459315
50,1.0,0.5,False,688.4156462585034,1011971.0,50.0,1372.0,1470,0.0006820900006763016,688.4156462585034,1011971.0,50.0,1372.0,1470,0.004135753332714861
50,1.0,0.5,True,,,,,0,0.00026410999853396786,,,,,0,0.05135770999865296
50,1.0,0.8,False,747.1972789115646,1098380.0,56.0,1444.0,1470,0.0006975733345219244,747.1972789115646,1098380.0,56.0,1444.0,1470,0.0040070433353927605
50,1.0,0.8,True,,,,,0,0.0002045099982448543,,,,,0,0.05091120333430202
100,0.2,0.0,False,617.9563131313131,2447107.0,53.0,1232.0,3960,0.0006731174995366018,617.9563131313131,2447107.0,53.0,1232.0,3960,0.004099209999913001
100,0.2,0.0,True,618.5520202020202,2449466.0,21.0,1242.0,3960,0.0008152750000590458,618.5520202020202,2449466.0,21.0,1242.0,3960,0.004031949999989593
100,0.2,0.1,False,707.4633838383838,2801555.0,37.0,1339.0,3960,0.0006413600000087172,707.4633838383838,2801555.0,37.0,1339.0,3960,0.0039593999998032816
100,0.2,0.1,True,553.3631313131314,2191318.0,-6.0,1156.0,3960,0.0010198425010457869,553.3631313131314,2191318.0,-6.0,1156.0,3960,0.005285292498592753
100,0.2,0.5,False,999.2133838383838,3956885.0,126.0,1795.0,3960,0.0006307324991212226,999.2133838383838,3956885.0,126.0,1795.0,3960,0.003939849999369471
100,0.2,0.5,True,,,,,0,0.00043768500108853914,,,,,0,0.0880729300006351
100,0.2,0.8,False,1183.4373737373737,4686412.0,72.0,2071.0,3960,0.00066173000013805,1183.4373737373737,4686412.0,72.0,2071.0,3960,0.004153567499452037
100,0.2,0.8,True,,,,,0,0.0003090174992394168,,,,,0,0.09994150499987882
100,0.5,0.0,False,528.6479797979798,2093446.0,13.0,1242.0,3960,0.0014387874995009041,528.6479797979798,2093446.0,13.0,1242.0,3960,0.009019157500370056
100,0.5,0.0,True,524.6757575757575,2077716.0,13.0,1242.0,3960,0.0015048625013150741,524.6757575757575,2077716.0,13.0,1242.0,3960,0.008798799998112372
100,0.5,0.1,False,581.2239898989899,2301647.0,28.0,1220.0,3960,0.001417412499722559,581.2239898989899,2301647.0,28.0,1220.0,3960,0.008932094998817775
100,0.5,0.1,True,,,,,0,0.0014833825000096113,,,,,0,0.1989043749999837
100,0.5,0.5,False,768.4845959595959,3043199.0,73.0,1462.0,3960,0.0014408274997549596,768.4845959595959,3043199.0,73.0,1462.0,3960,0.009119972500047879
100,0.5,0.5,True,,,,,0,0.00043110999977216127,,,,,0,0.21281765999883645
100,0.5,0.8,False,865.5424242424242,3427548.0,72.0,1519.0,3960,0.0014245425012632041,865.5424242424242,3427548.0,72.0,1519.0,3960,0.008961802499834448
100,0.5,0.8,True,,,,,0,0.0003274974980740808,,,,,0,0.20455460499943
100,0.8,0.0,False,517.7222222222222,2050180.0,13.0,1242.0,3960,0.002080187500541797,517.7222222222222,2050180.0,13.0,1242.0,3960,0.012414312498731307
100,0.8,0.0,True,516.0757575757576,2043660.0,13.0,1242.0,3960,0.002079510001567542,516.0757575757576,2043660.0,13.0,1242.0,3960,0.012324382501537912
100,0.8,0.1,False,567.2901515151515,2246469.0,37.0,1199.0,3960,0.002296580000620452,567.2901515151515,2246469.0,37.0,1199.0,3960,0.01543572249938734
100,0.8,0.1,True,,,,,0,0.0013438799993309657,,,,,0,0.30699647999899754
